Property ID, Property,Booking.com Link,Location,Competitor Link
1,Lirio-2 BHK Lux Villa Saipem Candolim North Goa,https://www.booking.com/hotel/in/luxury-indo-portuguese-villa-with-a-private-pool.en-gb.html,,
,,,The Boss House,https://www.booking.com/hotel/in/the-boss-house.html
,,,White House by Hireavilla - Stunning Hilltop 3BHK Villa with Pool and River View,https://www.booking.com/hotel/in/stunning-hilltop-3br-villa-with-pool-and-river-view.html
,,,Baagh House Villa,https://www.booking.com/hotel/in/baagh-house-villa.html
2,Casa 2565 Anjuna North Goa,https://www.booking.com/hotel/in/casa-2565-anjuna-north-goa.en-gb.html,,
3,Mini Paradise Apartment by tisyastays,https://www.booking.com/hotel/in/mini-paradise-studio-candolim-north-goa.en-gb.html,,
4,Olive 1 BHK Apartment by tisyastays,https://www.booking.com/hotel/in/olive-1-bhk-apartment-candolim-north-goa.en-gb.html,,
5,Studio 109 Apartment by tisyastays,https://www.booking.com/hotel/in/studio-109-arpora-north-goa.en-gb.html,,
6,Koral- 1 BHK Arpora North Goa,https://www.booking.com/hotel/in/koral-1-bhk-arpora-north-goa.en-gb.html,,
,,,"StayVista at Arden Blu with Pool, Bar",https://www.booking.com/hotel/in/stayvista-at-arden-blu-with-pool-bar.html
